player,monster,level,variant,出場回数,A(アクティブ),P(コンパニオン),urls
ユウア,ブラスドラゴン (1),35,亜種1,1,チャージ / ドラゴンスケイル / ハードブロウ,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=10&se=3&t=1
ユウア,ブラスドラゴン (2),29,亜種1,1,チャージ / ドラゴンスケイル / ハードブロウ,守りのミンネ / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=10&se=3&t=1
けけけけ,ダークヤング (1),48,原種,4,のしかかり / ガッシマ / スタンピード / ニグラーヌ / ホロウワールド,リジェネレイト / 戦いのエール / 攻撃ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=3&t=1
けけけけ,ダークヤング (2),46,原種,4,のしかかり / ガッシマ / スタンピード / ニグラーヌ / ホロウワールド,エンジェリックウィング / ミラージュ / 戦いのエール / 攻撃ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=168&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=170&se=3&t=1
けけけけ,ドール (1),42,原種,4,のしかかり / アースクェイク / カロウシブスピット / スタンピード,リジェネレイト / 戦いのエール / 攻撃ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=3&t=1
けけけけ,ドール (2),40,原種,3,のしかかり / アースクェイク / カロウシブスピット / スタンピード,リジェネレイト / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=168&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=170&se=3&t=1
けけけけ,ドール (3),42,原種,1,ダルバドーハ,リジェネレイト / 戦いのエール,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=3&t=1
けけけけ,オールドワン,29,原種,4,デルバイス / ミラーズ / ユロール,エンジェリックウィング / クィックオーダー / リジェネレイト / リフレクション,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=3&t=1
けけけけ,ペリ (1),41,亜種2,4,アウェイクニング / セメタリーゲート / ムーランルージュ / レーヴァテイン / 風葬,ハートオブウィンド / フレイムアシスト / フレイムバリア / ミラージュ / リフレクション,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=5&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=69&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=169&se=3&t=1
けけけけ,ペリ (2),40,亜種2,3,アウェイクニング / セメタリーゲート / ムーランルージュ / レーヴァテイン / 風葬,リフレクション,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=3&t=1
けけけけ,ペリ (3),37,亜種2,2,アウェイクニング / セメタリーゲート / レーヴァテイン / 風葬,リフレクション,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=168&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=170&se=3&t=1
けけけけ,ルサルカ (1),43,原種,3,ウィンターブラスト / フォグ / ペイルムーン,ハートオブウィンド / 敏捷ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=37&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=101&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=3&t=1
けけけけ,ルサルカ (2),42,原種,2,ウィンターブラスト / ペイルムーン,セントリー / ハートオブオーシャン,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=169&se=3&t=1
けけけけ,ルサルカ (3),41,原種,2,ウィンターブラスト / フォグ / ペイルムーン,エンジェリックウィング,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=168&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=170&se=3&t=1
けけけけ,アークディスプレイサー,34,亜種2,2,ホロウワールド,リフレクション / 心の棘 / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=133&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=3&t=1
けけけけ,フラーユ,37,原種,3,アイスランス / ホロウワールド,クィックオーダー / リフレクション,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=169&se=3&t=1
けけけけ,アルルーナ (1),36,原種,1,アイスランス / エンジェルダスト / トランキリティ / ラストシュリーク,ハートオブウィンド / リフレクション,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=166&se=3&t=1
けけけけ,アルルーナ (2),35,原種,2,アイスランス / エンジェルダスト / リヴァイヴ,心の棘 / 魔力ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=167&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=169&se=3&t=1
酒と泪,ハイドラ (1),70,原種,7,クァドラストライク / ダークボルト / ラーヴァフロウ / 誘い受け / 踏みつけ,エンジェリックウィング,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=11&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=43&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=107&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=235&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=299&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=331&se=3&t=1
酒と泪,ハイドラ (2),68,原種,3,クァドラストライク / 誘い受け / 踏みつけ,エンジェリックウィング,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=75&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=139&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=267&se=3&t=1
酒と泪,ハイドラ (3),68,原種,1,クァドラストライク,エンジェリックウィング,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=203&se=3&t=1
酒と泪,ダークヤング (1),49,原種,2,イボニーシード / ガッシマ / ファストブレード,リフレクション / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=11&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=299&se=3&t=1
酒と泪,ダークヤング (2),48,原種,5,イボニーシード / ガッシマ / ファストブレード / フラッシュファイア,リフレクション / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=43&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=107&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=235&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=331&se=3&t=1
酒と泪,ダークヤング (3),47,原種,4,イボニーシード / ガッシマ / ファストブレード / フラッシュファイア,リフレクション / 防御ブースト,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=75&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=139&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=203&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=267&se=3&t=1
酒と泪,ドール (1),54,亜種1,5,アースクェイク / カロウシブスピット / スカラド / ダルバドーハ / 炎の刻印,リジェネレイト / リフレクション,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=11&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=107&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=171&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=235&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=299&se=3&t=1
酒と泪,ドール (2),47,亜種1,6,アースクェイク / カロウシブスピット / スカラド / ダルバドーハ / テラーコール,リジェネレイト / リフレクション,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=43&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=75&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=139&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=203&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=267&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=331&se=3&t=1
酒と泪,オールドワン (1),48,原種,2,ペトロガス / ミラーズ / ユロール / ワインクラウド,リジェネレイト / 守りのミンネ,https://eldersign.jp/rankmatch?cmd=v&rk=2&v=11&se=3&t=1 / https://eldersign.jp/rankmatch?cmd=v&rk=2&v=299&se=3&t=1
